Timestamp,"Concorda que está suficientemente informado(a) a respeito da pesquisa que será realizada e concorda de livre e espontânea vontade em participar, como participante ?",Qual o seu curso de graduação? (UFCG - Polo na Sede),Aspectos relacionados à disciplina [Relevância desta disciplina para o desenvolvimento profissional/pessoal.],Aspectos relacionados à disciplina [Relação desta disciplina com as demais do curso.],Aspectos relacionados à disciplina [Organização do plano da disciplina.],Aspectos relacionados à disciplina [Indicação de textos e de outros materiais de estudo.],Aspectos relacionados à disciplina [Contribuição da disciplina para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.],Aspectos relacionados à disciplina [Contribuição da disciplina para suprir as necessidades básicas computacionais requeridas para minha formação.],Ação de ensino do professor [Clareza no desenvolvimento do conteúdo.],Ação de ensino do professor [Procedimentos didáticos.],Ação de ensino do professor [Reflexão sobre os resultados da atividades de avaliação desta disciplina.],Ação de ensino do professor [Contribuição para um ambiente favorável à aprendizagem.],Ação de ensino do professor [Aproveitamento do tempo da aula.],Autoavaliação dos alunos [Utilização dos materiais de estudo indicados.],Autoavaliação dos alunos [Motivação para aprender mais.],Autoavaliação dos alunos [Contribuição como aluno para um ambiente favorável à aprendizagem.],Autoavaliação dos alunos [Contribuição da turma para um ambiente favorável à aprendizagem..],Alguma crítica que queira mencionar ao processo de aprendizagem desta disciplina? Forneça apenas comentários que motivem mudanças.,Você pode destacar algo que percebeu como positivo para o seu aprendizado durante o processo de aprendizagem na disciplina?
4/29/2020 19:43:59,Sim,ENGENHARIA DE PRODUÇÃO - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,,"Nem satisfeito, nem insatisfeito",,Mais ou menos satisfeito,Muito satisfeito,,
4/30/2020 11:02:40,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"O professor não conseguiu passar realmente a importância da material, assim como os melhores meio de utilizá-la no âmbito profissional. Foi um ensino vago, sem muitas atividades interessantes, sem muitas dinâmicas que ajudassem a preparar o aluno para o profissional. ","A vontade de aprender é notória na maioria dos alunos, porém nem sempre a vontade de ensinar se vê no professor, ou o mesmo simplesmente não sabe lecionar. Nem sempre um bom profissional pode se tornar um bom professor. "
4/30/2020 11:02:55,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Os métodos didáticos deveriam melhorar,
4/30/2020 11:08:19,Sim,ENGENHARIA DE MINAS - Diurno,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,Aprender uma linguagem de programação atual.(c++)
4/30/2020 11:09:59,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Em minha opinião o plano de curso e metodologia deveriam ser revistos e alterados de forma a contemplar um conteúdo direcionado ao curso ao qual o aluno faz parte. (No caso das engenharias, se não for o caso de separar as turmas por ""tipo"" de engenharia, ao menos criar um assunto voltado a engenharia como um todo).",O curso me proporcionou conhecer muitos atalhos e técnicas de Excel.
4/30/2020 11:20:59,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"De preferência coloquem professores capacitados para dar aula, tive uma péssima experiência com o professor x",O laboratório novo e climatizado ajudou bastante
4/30/2020 11:46:39,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Poderia ter aplicações diretas fo uso do Excel e da programação na profissão de engenharia civil. Sugiro algum trabalho que possa colocar o aluno mais próximo dessa aplicação na sua profissão. ,Consegui ter noções básicas do uso do Excel
4/30/2020 11:51:07,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,,
4/30/2020 14:13:51,Sim,ENGENHARIA MEC NICA - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,,
4/30/2020 14:40:17,Sim,ENGENHARIA MEC NICA - Diurno,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,O fornecimento de mais materiais de estudo,"Nos permitiu enxergar novos conhecimentos acerca de computação, além de aprofundar os mesmos"
4/30/2020 15:08:36,Sim,ENGENHARIA MECANICA - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Não,As aulas teóricas foram acompanhadas de aulas de exercícios esclarecedoras que ajudaram a fixar bem o assunto 
4/30/2020 15:38:09,Sim,FÍSICA (LIC) - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,"Tive uma turma extra na qual não foi possível a utilização de computadores como as demais turmas do período, mas acredito que aprendi 100% mais fazendo os programas a mão. Sem dúvidas foi um das melhores cadeiras que paguei","Vários exercícios propostos e a ótima aula do professor y, além de explicar super bem, tem um carisma e preocupação com os alunos."
4/30/2020 16:25:45,Sim,FÍSICA (LIC) - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
4/30/2020 16:43:40,Sim,FÍSICA (BAC) - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,,
4/30/2020 18:00:38,Sim,ENGENHARIA DE PRODUÇÃO - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,
4/30/2020 18:12:40,Sim,ENGENHARIA MECANICA - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,"Apenas o temperamento do professor x, que tem uma boa didática mas peca nesse quesito.",O fato de sempre terem exercícios associados às aulas.
4/30/2020 18:18:10,Sim,MATEMÁTICA (LIC) - Diurno,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/1/2020 8:08:48,Sim,MATEMÁTICA (LIC) - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,,Realizar trabalhos sobre a computação na nossa vida
5/1/2020 13:03:01,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Talvez uma proposta prática mais atual e que se aproxime mais da realidade profissional (como a montagem de planilhas com dados reais). A cadeira é a mesma para todas as disciplinas. Isso facilita o trabalho do professor mas empobrece o aprendizado profissional. Por exemplo: As planilhas do setor da construção (orçamento, gerenciamento) trazem problemas diferentes dos problemas que surgem na elaboração de planilhas na área da computação. O professor pode, e deve procurar se aprofundar UM POUCO MAIS (se tratando de uma cadeira introdutória) da área dos estudantes, isso traz resultados positivos de maior interesse e aproveitamento dos conteúdos.","Despertou o interesse a querer saber melhor manusear as ferramentas de organização, não só na disciplina, mas também no dia a dia (excel)"
5/1/2020 15:32:03,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Metodologia e avaliação do professor foram horríveis. ,
5/1/2020 17:50:37,Sim,ENGENHARIA DE MATERIAIS - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Focar em planilhas ,
5/1/2020 19:18:50,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,,
5/1/2020 20:15:39,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais aulas de Excel ,Excel
5/1/2020 21:42:40,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Deveriam trabalhar mais com a prática do que é ensinado na teoria, e fazer com que a maior porcentagem de alunos consigam emtender o assunto.",
5/2/2020 12:22:40,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,,A plataforma que é parecida com o excerl vai ajudar muito no meu trabalho
5/2/2020 20:39:16,Sim,ENGENHARIA MECANICA - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,,
5/3/2020 9:05:58,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,,O estimulo de diversos exercícios de programação enviados pelo site auxilia na fixação do assunto
5/3/2020 12:39:27,Sim,ENGENHARIA MECANICA - Diurno,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Não,O aprendizado dessa disciplina me fez querer aprender diversas linguagens de programação e ser uma pessoa apaixonada por esse ramo que é a programação
5/3/2020 13:22:36,Sim,ENGENHARIA DE PRODUÇÃO - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,"Quando cursei, o software que foi ensinado foi o Fortran, atualmente não utilizo em nada, acredito que para a área de produção, a introdução ao Python seria bem melhor.",A dinâmica de ensino do professor
5/3/2020 13:56:18,Sim,ENGENHARIA MECANICA - Diurno,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Talvez a paciência que alguns professores deveriam ter para ensinar... ,A necessidade de colocar em prática sua criatividade para contornar um problema.
5/3/2020 15:06:03,Sim,ENGENHARIA DE MATERIAIS - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/3/2020 15:21:24,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,,"O professor contribuiu na aprendizagem e, sem dúvidas, a monitoria que é essencial na disciplina. "
5/3/2020 20:54:48,Sim,METEOROLOGIA - Diurno,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Turmas muito grandes, professores  bons mais deixam muito a desejar na hora do ensino individual pela linguagem muito formal, ferramentas de ensino muito vagas e em questão  a avaliação  reprovações muito indecentes quando 1 pontos ou 0.5 pontos tendo em vista que a disciplina é bastante difícil. ","A criação  de dados, números  em tabelas."
5/3/2020 22:47:34,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,O docente,As possibilidades que a CC oferece
5/7/2020 9:12:32,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,,
5/25/2020 11:36:22,Sim,FÍSICA (BAC) - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,,
5/25/2020 11:42:57,Sim,FÍSICA (LIC) - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,,"Aprendi muito, sem dúvidas uma das melhores disciplinas que paguei, se não a melhor"
